domain,guideline,vignette,item_author_notes,validator_guideline,validator_notes,question_type,hypothesis,new_information,effect_phrase,options,author_notes,validator_selected_option
Celiac_Disease,american,"A 42-year-old woman presents with an 18-month history of intermittent, non-bloody diarrhea, significant bloating, and persistent fatigue. She has a past medical history of hypothyroidism, well-controlled on levothyroxine. Her family history is notable for a brother diagnosed with celiac disease five years ago. On review of systems, she mentions occasional aphthous ulcers. Initial laboratory workup reveals iron deficiency anemia with a hemoglobin of 10.8 g/dL and a ferritin of 12 ng/mL. Celiac serology was ordered due to the clinical suspicion and family history. The results show a tissue transglutaminase (tTG) IgA level of 254 U/mL (normal <15 U/mL) and a normal total serum IgA level. She has been consuming a regular, gluten-containing diet. An upper endoscopy with duodenal biopsies is being considered to confirm the suspected diagnosis and assess the degree of mucosal damage before initiating treatment.","This case assesses the standard diagnostic and management pathway for a patient with classic celiac disease, including navigating social barriers and recognizing non-responsive symptoms despite serological improvement.",,,diagnosis,a definitive diagnosis of celiac disease.,The duodenal biopsy report confirms Marsh 3c villous atrophy with increased intraepithelial lymphocytes.,this hypothesis becomes,"+2, +1, 0, -1, -2",The combination of highly positive tTG-IgA serology and classic histologic findings of villous atrophy on biopsy is considered the gold standard for confirming celiac disease. (+2),
,,,,,,management,"immediately recommending a strict, lifelong gluten-free diet.",The patient reveals she is a professional pastry chef and is extremely concerned about her livelihood.,this plan becomes,"+2, +1, 0, -1, -2","While a gluten-free diet is essential, her profession poses a significant barrier. A structured plan with an expert dietitian is critical before initiation, making this immediate action less appropriate. (-1)",
,,,,,,followup,relying solely on annual tTG-IgA testing to monitor disease activity.,"One year later, her tTG-IgA has normalized but she reports persistent bloating and fatigue.",this plan becomes,"+2, +1, 0, -1, -2",Persistent symptoms despite serologic normalization define non-responsive celiac disease. Relying on serology alone is insufficient; evaluation for other causes like SIBO or microscopic colitis is now required. (-1),
Celiac_Disease,american,"A 34-year-old woman presents with a one-year history of intermittent abdominal cramping, bloating, and 3-4 loose stools daily. She also reports significant fatigue and an unintentional 6 kg weight loss over the past six months. She has no significant past medical history and takes no regular medications. Her family history is notable for an aunt with type 1 diabetes. Initial laboratory workup reveals microcytic anemia with a hemoglobin of 10.8 g/dL (normal 12-16 g/dL) and a ferritin of 12 ng/mL (normal 15-150 ng/mL). A Celiac serology panel is ordered, showing an IgA tissue transglutaminase (tTG) antibody level of 85 U/mL (normal <15 U/mL). Her total serum IgA is within the normal range. She is currently consuming a regular, unrestricted diet and is anxious about the potential diagnosis and what it means for her long-term health and lifestyle.","This case outlines a classic presentation of celiac disease, from initial suspicion with serology to histologic confirmation. The scenarios explore guideline-based management decisions regarding bone health and the common follow-up challenge of persistent seropositivity.",,,diagnosis,a diagnosis of celiac disease is highly likely.,An upper endoscopy with duodenal biopsies reveals Marsh 3b classification (marked villous atrophy with crypt hyperplasia and increased intraepithelial lymphocytes).,this hypothesis becomes,"+2, +1, 0, -1, -2","The combination of classic symptoms, positive and specific serology (tTG-IgA >5x ULN), and confirmatory histology with marked villous atrophy makes the diagnosis of celiac disease definitive. (+2)",
,,,,,,management,recommending a baseline DEXA scan to screen for osteoporosis.,The patient reveals a history of a low-impact wrist fracture two years ago after a simple fall.,this action becomes,"+2, +1, 0, -1, -2","A history of a fragility fracture is a significant risk factor for osteoporosis. In a patient with a malabsorptive state like celiac disease, this finding makes bone density screening essential. (+2)",
,,,,,,followup,continuing to monitor dietary adherence with annual IgA tTG antibody testing.,"After one year on a strict gluten-free diet, her symptoms have resolved but her tTG-IgA level remains elevated at 65 U/mL.",this plan becomes,"+2, +1, 0, -1, -2","Persistently elevated serology despite symptomatic improvement strongly suggests ongoing, likely inadvertent, gluten exposure. Simply continuing to monitor is inappropriate; a more active investigation is required. (-2)",
Celiac_Disease,american,"A 28-year-old woman with a 15-year history of well-controlled type 1 diabetes presents with six months of intermittent diarrhea, bloating, and a 5 kg unintentional weight loss. She reports increasing fatigue that is affecting her work. She has no significant family history of gastrointestinal disease. Her primary care physician ordered initial labs which revealed a hemoglobin of 10.2 g/dL (normal 12-16) with a low MCV of 75 fL. Ferritin was 10 ng/mL (normal 15-150). A celiac panel showed an IgA tissue transglutaminase (tTG) antibody level of 250 U/mL (normal <10 U/mL). However, her total serum IgA level was subsequently found to be 15 mg/dL (normal 70-400 mg/dL). An upper endoscopy was performed, and duodenal biopsies confirmed Marsh 3b villous atrophy. The patient is anxious for a definitive diagnosis and a clear treatment plan.","This case focuses on a patient with classic symptoms and biopsy findings for celiac disease, complicated by selective IgA deficiency. This common clinical pitfall requires careful consideration of alternative serologic testing for both diagnosis and follow-up.",,,diagnosis,a definitive diagnosis of celiac disease based on the very high tTG-IgA level.,You learn that IgG-based serology (IgG-DGP) was also performed and returned highly positive.,this hypothesis becomes,"+2, +1, 0, -1, -2","In IgA deficiency, IgA-based tests are unreliable. A positive IgG-based test, combined with confirmatory biopsy, makes the diagnosis of celiac disease certain. (+2)",
,,,,,,management,initiating a strict gluten-free diet and consulting a registered dietitian.,The patient expresses significant anxiety about managing a gluten-free diet on top of her existing carbohydrate counting for type 1 diabetes.,this plan becomes,"+2, +1, 0, -1, -2","A strict gluten-free diet is the only effective treatment for celiac disease, regardless of comorbidities. The patient's valid concerns make the dietitian consultation even more essential. (+2)",
,,,,,,followup,monitoring dietary adherence in one year with a repeat IgA tTG test.,"You recall her baseline total IgA level was profoundly low, indicating selective IgA deficiency.",this plan becomes,"+2, +1, 0, -1, -2","Monitoring with an IgA-based test is inappropriate in a patient with known IgA deficiency, as the results will always be unreliable. IgG-based serology should be used instead. (-2)",
Celiac_Disease,american,"A 42-year-old woman returns for follow-up one year after being diagnosed with celiac disease. The initial diagnosis was established based on an IgA tissue transglutaminase (tTG) level of 150 U/mL (ULN <15 U/mL) and a duodenal biopsy demonstrating Marsh 3a villous atrophy. She was counselled by a dietitian and reports strict adherence to a gluten-free diet (GFD) for the past 12 months. Despite this, she continues to experience persistent bloating, intermittent diarrhea, and significant fatigue, which impacts her daily life. Her weight has remained stable. Repeat laboratory tests show her IgA-tTG remains elevated at 85 U/mL. She also has persistent mild iron deficiency anemia with a hemoglobin of 10.8 g/dL and a ferritin of 12 ng/mL. She is frustrated with her lack of improvement and is questioning the effectiveness of the diet.","This item focuses on the common clinical challenge of non-responsive celiac disease, exploring the differential diagnosis, management strategies, and appropriate follow-up when initial dietary therapy appears to fail.",,,diagnosis,refractory celiac disease type I as the primary diagnosis.,A detailed dietary review reveals frequent cross-contamination from a shared family toaster and cutting boards used for wheat bread.,this hypothesis becomes,"+2, +1, 0, -1, -2",Ongoing gluten exposure is the most common cause of non-responsive celiac disease. Identifying a clear source makes a complex diagnosis like refractory disease much less likely. (-2),
,,,,,,management,initiating an empirical trial of budesonide for suspected refractory disease.,"A hydrogen breath test is performed and is strongly positive, consistent with small intestinal bacterial overgrowth (SIBO).",this plan becomes,"+2, +1, 0, -1, -2","SIBO is a common, treatable cause of persistent symptoms in celiac disease. Treating the SIBO first is far more appropriate than starting steroids for refractory disease. (-2)",
,,,,,,followup,scheduling a repeat upper endoscopy with biopsies in the next month.,"The patient admits to occasional, intentional gluten consumption on weekends, believing small amounts would not cause harm.",this plan becomes,"+2, +1, 0, -1, -2","With clear non-adherence identified, the immediate next step is intensive dietary re-education, not an invasive procedure. The endoscopy is less appropriate until adherence is established. (-1)",
Celiac_Disease,american,"A 38-year-old woman presents with a six-month history of bloating, intermittent diarrhea, fatigue, and an unintentional 8-pound weight loss. Her past medical history is significant for hypothyroidism, well-controlled on levothyroxine. Three months prior to her visit, she self-initiated a ""mostly"" gluten-free diet after reading about her symptoms online, which she feels has provided partial relief. Initial laboratory workup reveals a hemoglobin of 11.2 g/dL (normal 12-16 g/dL) with a low ferritin level. Her tissue transglutaminase (tTG) IgA level is 15 U/mL (upper limit of normal <20 U/mL), and her total serum IgA is within the normal range. She is uncertain about the next steps and whether she truly needs to be on a strict diet for life. The ambiguity of her serology in the context of a partial dietary change presents a diagnostic challenge.","This case focuses on a common clinical challenge: diagnosing and managing celiac disease in a patient who has already partially initiated a gluten-free diet, leading to potentially misleading serological results. It tests reasoning around definitive diagnosis, management standards, and follow-up for non-responsive symptoms.",european,"The item is clinically sound and reflects common diagnostic and management challenges. The European (ESPGHAN) guideline strongly supports the intended reasoning. For adults, biopsy is definitive for diagnosis (Q1), expert dietitian consultation is essential regardless of patient confidence (Q2), and persistent symptoms necessitate a broader investigation for non-responsive celiac disease, making reliance on serology alone inappropriate (Q3). The reasoning holds true across major international guidelines.",diagnosis,the patient has active celiac disease despite her borderline serology.,An upper endoscopy with duodenal biopsies reveals Marsh 3b villous atrophy with increased intraepithelial lymphocytes.,this hypothesis becomes,"+2, +1, 0, -1, -2",The classic histologic finding of significant villous atrophy strongly supports active celiac disease. The borderline serology is likely due to her partial gluten-free diet. (+2),2.0
,,,,,,management,referring the patient to a registered dietitian for formal gluten-free diet education.,The patient states she feels confident managing her diet on her own using online resources and support groups.,this plan becomes,"+2, +1, 0, -1, -2","Patient confidence does not replace professional guidance. A dietitian is crucial for teaching strict adherence, avoiding cross-contamination, and ensuring nutritional adequacy, making the referral essential. (+2)",2.0
,,,,,,followup,monitoring dietary adherence and response with annual tTG-IgA testing alone.,"At her one-year follow-up, she has persistent fatigue and bloating despite reporting strict dietary adherence.",this plan becomes,"+2, +1, 0, -1, -2","Persistent symptoms despite a reported GFD suggest either ongoing gluten exposure or a co-existing diagnosis (e.g., SIBO, IBS). Relying only on serology is insufficient. (-1)",-2.0
